SKU,Producto,#,Tarea,Duracion_dias,Depende_de,Tipo_dep,Inicio_plan,Fin_plan,Estatus,Inicio_real,Fin_real,Dur_real_dias,Desvio_dias
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-05-14,2026-06-27,44,63
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-06-27,19,93
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,2026-06-29,,,
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-06-27,2026-07-07,10,66
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-07,2026-07-10,3,54
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-07-10,2026-08-10,31,50
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-08-10,2026-08-17,7,47
6TRAO26787BEI,PASSPORT HOLDER with magnet — BEIGE (6TRAO26787BEI),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-09-01,,61
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-05-14,2026-06-27,44,63
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-06-27,19,93
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,2026-06-29,,,
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-06-27,2026-07-07,10,66
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-07,2026-07-10,3,54
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-07-10,2026-08-10,31,50
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-08-10,2026-08-17,7,47
6TRAO26788NEG,PASSPORT HOLDER — BLACK individual size (6TRAO26788NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-09-01,,61
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-05-14,2026-06-27,44,63
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-06-27,19,93
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,2026-06-29,,,
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-06-27,2026-07-07,10,66
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-07,2026-07-10,3,54
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-07-10,2026-08-10,31,50
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-08-10,2026-08-17,7,47
6TRAO26789NEG,PASSPORT HOLDER WITH ZIPPER — BLACK (6TRAO26789NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-09-01,,61
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-06-17,82,113
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-05-14,2026-07-20,67,86
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-29,2026-07-20,21,116
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAO26790BEIGE,PASSPORT HOLDER WITH ZIPPER — BEIGE (6TRAO26790BEIGE),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-09-15,,75
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-06-01,2026-07-20,49,86
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-07-20,42,116
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAO26791NEG,SET 3 MINI ORGANIZERS — BLACK (6TRAO26791NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-09-15,,75
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-06-01,2026-07-20,49,86
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-07-20,42,116
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAO26792NEG,SET 3 TRAVEL ORGANIZERS — BLACK (6TRAO26792NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-09-15,,75
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-06-01,2026-07-20,49,86
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-07-20,42,116
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAI26793NEG,COSMETIC CASE - MEDIUM — BLACK (6TRAI26793NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-10-01,,91
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-06-01,2026-07-20,49,86
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-07-20,42,116
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAI26794ROJ,TSA LOCK WITH FLEXIBLE CABLE — RED (6TRAI26794ROJ),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-10-01,,91
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
